source_id,source_domain,model,prompt_id,style,strategy,output,latency_s,error,fk_grade,avg_sentence_length,word_count,unique_word_ratio,formality_score,sentiment_polarity,compression_ratio,judge_style_adherence,judge_fluency,judge_meaning_preserved,judge_overall,judge_rationale,delta_fk_grade,delta_formality,delta_sentiment,delta_sentence_length,delta_ttr
T01,science,GPT-4o-mini,S01A,journalism,direct_instruction,"Scientists have identified that Lactobacillus reuteri, a common gut bacteria, can significantly reduce anxiety and depression-like behaviors in mice. The research indicates that the bacteria produces a compound that activates the vagus nerve, which links the gut to the brain. When the bacteria was removed from the mice's guts, their anxiety levels increased. Conversely, restoring the bacteria led to a decrease in anxiety. The research team suggests that these findings may pave the way for new treatments for mental health conditions in humans. However, they note that results from mouse studies do not always directly apply to humans. The findings were published in the journal Cell.",7.313,,10.77,15.29,107,0.6916,0.5,-1.0,1.0288,0.0,0.0,0.0,0.0,,-0.14,0.0385,0.0,-2.04,-0.0488
T01,science,GPT-4o,S01A,journalism,direct_instruction,"Scientists have identified that the gut bacteria Lactobacillus reuteri can significantly reduce anxiety and depression-like behaviors in mice. The research shows that this bacteria produces a compound that activates the vagus nerve, linking the gut to the brain. Removal of this bacteria from mice resulted in increased anxiety levels, while its restoration reduced these levels. The study, published in the journal Cell, suggests potential for new mental health treatments in humans, though researchers note that findings in mice do not always directly apply to humans.",2.84,,14.06,21.5,86,0.7326,0.4767,-1.0,0.8269,0.0,0.0,0.0,0.0,,3.15,0.0152,0.0,4.17,-0.0078
T01,science,Claude Haiku,S01A,journalism,direct_instruction,"# Gut Bacteria Shown to Reduce Anxiety in Mice Through Brain Connection

Researchers have identified a common gut bacterium that significantly reduces anxiety and depression-like behaviors in mice. The bacterium, Lactobacillus reuteri, produces a compound that activates the vagus nerve, a neural pathway connecting the digestive system to the brain.

Scientists conducted controlled experiments removing and restoring the bacteria in mice. Anxiety levels increased when the bacteria were absent. Anxiety decreased when the bacteria were reintroduced.

The findings suggest potential applications for treating mental health conditions in humans. Researchers cautioned that results from animal studies do not always translate to human patients.

The study was published in the journal Cell.",2.852,,13.16,13.75,110,0.6909,0.4818,-1.0,1.0577,0.0,0.0,0.0,0.0,,2.25,0.0203,0.0,-3.58,-0.0495
T01,science,Claude Sonnet 4.6,S01A,journalism,direct_instruction,"# Gut Bacteria Linked to Reduced Anxiety in Mice, Study Finds

A common gut bacterium has been shown to significantly reduce anxiety and depression-like behaviors in mice, according to research published in the journal *Cell*.

Scientists found that *Lactobacillus reuteri* produces a compound that activates the vagus nerve, the neural pathway connecting the gut to the brain. Researchers believe this mechanism is responsible for the bacteria's effect on mood-related behaviors.

When *L. reuteri* was removed from the guts of test subjects, anxiety levels increased noticeably. Restoring the bacteria returned anxiety levels to their previous state.

The research team has suggested the findings could eventually inform new treatments for mental health conditions in humans. However, scientists cautioned that results from mouse studies do not always translate directly to human outcomes.",5.191,,13.44,18.57,130,0.7308,0.5,-1.0,1.25,0.0,0.0,0.0,0.0,,2.53,0.0385,0.0,1.24,-0.0096
T01,science,Mistral small creative,S01A,journalism,direct_instruction,"**Gut Bacteria *Lactobacillus reuteri* Linked to Reduced Anxiety in Mice, Study Finds**

*New research suggests a common gut bacterium may influence mental health by modulating brain activity through the vagus nerve.*

A team of scientists has identified that *Lactobacillus reuteri*—a widely studied probiotic—can significantly reduce anxiety and depression-like behaviors in mice. The effect appears to stem from a compound produced by the bacteria that activates the vagus nerve, a key pathway connecting the gut and brain.

In experiments, researchers observed that removing *L. reuteri* from the mice’s gut microbiota led to a noticeable increase in anxiety-like behaviors. When the bacteria was reintroduced, anxiety levels returned to baseline, according to findings published in the journal *Cell*.

The study suggests a potential biological link between gut bacteria and mental health, though the researchers emphasized that mouse models do not always predict human responses. Further investigation is needed to determine whether similar effects could translate to clinical treatments for anxiety and depression in people.

The discovery adds to growing evidence that the gut microbiome may play a role in neurological and psychological conditions.",2.485,,14.88,20.56,185,0.6216,0.4784,0.0,1.7788,0.0,0.0,0.0,0.0,,3.97,0.0169,1.0,3.23,-0.1188
T01,science,Llama 3 8B,S01A,journalism,direct_instruction,"Scientists Discover Gut Bacteria Linked to Reduced Anxiety and Depression in Mice

Researchers have found that a common gut bacteria, Lactobacillus reuteri, can significantly reduce anxiety and depression-like behaviors in mice. The bacteria produces a compound that activates the vagus nerve, which connects the gut to the brain.

The study, published in the journal Cell, found that when the bacteria was removed from the mice's guts, their anxiety levels increased noticeably. Conversely, when the bacteria was restored, the anxiety levels decreased.

The findings suggest that this bacteria could potentially be used to develop new treatments for mental health conditions in humans. However, the researchers caution that mouse studies do not always translate directly to people.

The study's results provide new insights into the complex relationship between the gut and brain, and could lead to further research into the potential therapeutic applications of Lactobacillus reuteri.",5.534,,14.46,20.71,145,0.6276,0.5,-1.0,1.3942,0.0,0.0,0.0,0.0,,3.55,0.0385,0.0,3.38,-0.1128
T01,science,GPT-4o-mini,S01B,journalism,role_prompting,"**Study Links Gut Bacteria to Reduced Anxiety in Mice**

Scientists have found that the gut bacteria Lactobacillus reuteri may play a crucial role in reducing anxiety and depression-like behaviors in mice. Research published in the journal *Cell* indicates that this bacteria produces a compound that activates the vagus nerve, which connects the gut to the brain. 

In experiments, researchers observed a significant increase in anxiety levels in mice when Lactobacillus reuteri was removed from their intestines. Conversely, reintroducing the bacteria led to a decrease in anxiety levels. 

While the findings suggest potential avenues for new mental health treatments in humans, researchers caution that results from mouse studies do not always directly apply to human conditions.",4.82,,15.43,23.2,116,0.6724,0.5,0.3333,1.1154,0.0,0.0,0.0,0.0,,4.52,0.0385,1.3333,5.87,-0.068
T01,science,GPT-4o,S01B,journalism,role_prompting,"**Gut Bacteria Shows Promise in Reducing Anxiety, Depression in Mice**

In a groundbreaking study, scientists have identified that the gut bacteria Lactobacillus reuteri can significantly alleviate anxiety and depression-like behaviors in mice. The research, published in the journal *Cell*, reveals that the bacteria produce a compound which activates the vagus nerve, a critical connection between the gut and brain. When Lactobacillus reuteri was removed from the mice, their anxiety levels increased, but were reduced upon its restoration. While the findings offer potential for new mental health treatments in humans, researchers caution that results in mice may not directly apply to people.",3.48,,16.22,25.5,102,0.7059,0.4804,0.0,0.9808,0.0,0.0,0.0,0.0,,5.31,0.0189,1.0,8.17,-0.0345
T01,science,Claude Haiku,S01B,journalism,role_prompting,"# Gut Bacteria Linked to Anxiety Relief in Mice

Scientists have identified a common gut bacterium that significantly reduces anxiety and depression-like symptoms in mice, potentially opening a new avenue for mental health treatment.

Researchers found that *Lactobacillus reuteri* produces a compound that activates the vagus nerve, the primary communication pathway between the gut and brain. When the bacteria was removed from mice, anxiety increased markedly. Restoring the bacteria reversed the effect.

The discovery, published today in *Cell*, suggests the gut microbiome may play a direct role in regulating mood and anxiety.

However, scientists cautioned that results from animal studies often do not translate to humans, and further research would be needed before any human treatments could be developed.",3.412,,14.75,19.83,119,0.7227,0.5,0.0,1.1442,0.0,0.0,0.0,0.0,,3.84,0.0385,1.0,2.5,-0.0177
T01,science,Claude Sonnet 4.6,S01B,journalism,role_prompting,"# Gut Bacteria Linked to Anxiety Relief, Mouse Study Finds

A common gut bacterium can significantly reduce anxiety and depression-like behavior in mice, scientists have found, raising hopes for new approaches to treating mental health conditions in humans.

Researchers discovered that *Lactobacillus reuteri* produces a compound that activates the vagus nerve — the neural pathway connecting the gut to the brain. When the bacterium was removed from mice, anxiety levels rose measurably; when it was restored, they fell.

The findings were published in the journal *Cell*.

Scientists cautioned that results from animal studies do not always translate to humans, and stopped short of claiming the discovery would lead directly to new treatments. Further research will be needed before any clinical applications can be established.",5.42,,13.8,20.5,123,0.748,0.4837,-1.0,1.1827,0.0,0.0,0.0,0.0,,2.89,0.0222,0.0,3.17,0.0076
T01,science,Mistral small creative,S01B,journalism,role_prompting,"**Gut Bacteria Linked to Anxiety, Depression in Mice—Potential New Treatment Pathway**

*By [Your Name]*
*[Newspaper Name] | [Date]*

**WASHINGTON** — Scientists have identified a common gut bacterium that may play a key role in regulating anxiety and depression-like behaviors in mice, offering a potential new avenue for mental health treatments in humans.

Researchers found that *Lactobacillus reuteri*—a strain of bacteria naturally present in the digestive tract—produces a compound that activates the **vagus nerve**, the primary communication pathway between the gut and the brain. When the bacteria were removed from the mice, their anxiety levels **rose significantly**. Restoring the bacteria **reversed the effect**, the study found.

The findings, published in the journal *Cell*, suggest that gut microbes could influence mental health by modulating neural signals. While the research was conducted in mice, the team cautioned that results may not directly apply to humans, though they described the discovery as a **""promising lead""** for future studies.

If confirmed in human trials, the work could pave the way for **probiotics or other microbial-based therapies** to complement existing treatments for anxiety and depression.

The study was supported by [funding source, if known; otherwise omit].

---
**Key Details:**
- **What?** *Lactobacillus reuteri* bacteria reduces anxiety/depression-like behaviors in mice by activating the vagus nerve.
- **How?** Removing the bacteria increased anxiety; restoring it lowered it.
- **Why it matters:** Potential for new mental health treatments, though human studies are needed.
- **Source:** Published in *Cell*.

*(Word count: ~150—adjust as needed for space.)*",2.645,,12.37,17.57,246,0.5691,0.4756,1.0,2.3654,0.0,0.0,0.0,0.0,,1.46,0.0141,2.0,0.24,-0.1713
