rank,model,style,strategy,prompt_id,fk_grade,formality_score,unique_word_ratio,sentiment_polarity,compression_ratio,latency_s
1,GPT-4o-mini,legal,contrastive,S03C,25.474,0.6051,0.5625,0.36,2.5811,10.1638
2,Claude Sonnet 4.6,legal,contrastive,S03C,14.978,0.6038,0.4826,0.0667,3.485,12.3086
3,GPT-4o,legal,contrastive,S03C,12.678,0.6023,0.5327,0.1111,2.623,7.5006
4,Claude Haiku,legal,contrastive,S03C,15.694,0.5939,0.5384,0.0833,3.1028,7.6336
5,GPT-4o-mini,legal,direct_instruction,S03A,58.758,0.587,0.5649,0.4,2.5162,9.1414
6,Llama 3 8B,legal,role_prompting,S03B,30.712,0.5778,0.5456,0.4381,2.5598,7.615
7,Claude Haiku,legal,direct_instruction,S03A,34.842,0.5754,0.6237,0.1333,2.4161,5.8544
8,Mistral small creative,legal,contrastive,S03C,15.296,0.5655,0.4293,0.1238,11.5521,14.0508
9,GPT-4o,legal,direct_instruction,S03A,30.786,0.5637,0.6415,0.3,1.9728,4.3928
10,Claude Sonnet 4.6,legal,direct_instruction,S03A,19.352,0.5631,0.5525,0.1714,3.5624,13.363
11,Llama 3 8B,legal,contrastive,S03C,16.114,0.5613,0.4564,0.0242,3.7995,10.962
12,Llama 3 8B,legal,direct_instruction,S03A,22.142,0.5603,0.5129,0.3778,3.1798,7.2378
13,Claude Sonnet 4.6,legal,role_prompting,S03B,23.292,0.5519,0.6312,0.0267,3.0269,10.9334
14,Claude Haiku,legal,role_prompting,S03B,21.81,0.5505,0.6399,0.2667,2.2932,5.4582
15,GPT-4o,medical,contrastive,S09C,16.366,0.5488,0.7333,0.8,1.1558,3.0234
16,GPT-4o-mini,academic,direct_instruction,S02A,16.322,0.5412,0.7088,0.4,1.3717,4.7904
17,Claude Haiku,academic,role_prompting,S02B,22.5,0.5407,0.7169,0.6667,2.098,5.263
18,GPT-4o-mini,academic,contrastive,S02C,17.464,0.5402,0.697,0.4,1.6272,5.9662
19,GPT-4o,legal,role_prompting,S03B,18.564,0.54,0.6789,0.4,1.6024,3.8938
20,Claude Sonnet 4.6,academic,contrastive,S02C,19.518,0.5393,0.7053,0.4667,2.0451,8.2794
21,Claude Haiku,academic,contrastive,S02C,24.962,0.5392,0.6852,0.4333,2.1089,5.3658
22,GPT-4o-mini,medical,contrastive,S09C,15.402,0.5382,0.7328,0.8,1.1289,4.2638
23,GPT-4o,academic,direct_instruction,S02A,17.408,0.5371,0.7382,0.44,1.3185,3.6636
24,GPT-4o,academic,contrastive,S02C,17.238,0.5331,0.7109,0.44,1.5265,3.874
25,Claude Sonnet 4.6,academic,direct_instruction,S02A,21.956,0.533,0.7009,0.5333,2.1872,8.5712
26,Llama 3 8B,medical,contrastive,S09C,15.546,0.5319,0.7269,0.4667,1.4284,3.9746
27,GPT-4o-mini,medical,role_prompting,S09B,17.634,0.5318,0.7022,0.7,1.5156,5.9078
28,GPT-4o,academic,role_prompting,S02B,17.204,0.5316,0.7161,0.3667,1.6119,4.5464
29,GPT-4o,medical,role_prompting,S09B,16.352,0.5308,0.7371,0.4,1.1613,3.0842
30,Llama 3 8B,academic,contrastive,S02C,16.492,0.5301,0.6631,0.5733,2.0266,4.6368
31,GPT-4o-mini,academic,role_prompting,S02B,16.414,0.5276,0.659,0.5733,2.128,7.3192
32,Claude Sonnet 4.6,academic,role_prompting,S02B,23.02,0.5259,0.7026,0.2667,2.611,11.4174
33,Mistral small creative,legal,direct_instruction,S03A,18.492,0.5252,0.501,0.2879,8.1278,8.8166
34,Claude Haiku,academic,direct_instruction,S02A,22.98,0.5234,0.7077,0.04,1.9692,4.775
35,GPT-4o-mini,journalism,direct_instruction,S01A,12.734,0.5233,0.8084,0.1333,0.9092,3.9658
36,GPT-4o-mini,technical,role_prompting,S07B,15.16,0.523,0.6128,0.0333,2.0685,8.0572
37,Claude Haiku,medical,role_prompting,S09B,22.328,0.5212,0.7055,0.28,1.8582,5.7238
38,Claude Haiku,medical,direct_instruction,S09A,22.142,0.5192,0.7113,0.4267,1.978,6.9408
39,Claude Haiku,medical,contrastive,S09C,19.892,0.5189,0.719,0.1667,1.4611,4.0394
40,Llama 3 8B,medical,role_prompting,S09B,16.746,0.5189,0.5937,0.2914,2.0538,3.9098
41,GPT-4o-mini,medical,direct_instruction,S09A,18.53,0.5185,0.7138,0.3733,1.3439,4.6584
42,Llama 3 8B,journalism,direct_instruction,S01A,14.038,0.5176,0.6939,0.0333,1.358,3.3944
43,GPT-4o,medical,direct_instruction,S09A,17.51,0.517,0.7382,0.5067,1.2757,3.6526
44,Claude Haiku,technical,direct_instruction,S07A,20.756,0.5154,0.6752,-0.08,1.922,5.204
45,Llama 3 8B,medical,direct_instruction,S09A,16.41,0.5149,0.5937,0.6,2.1975,5.4414
46,GPT-4o,journalism,direct_instruction,S01A,13.066,0.514,0.817,0.1333,0.8432,2.455
47,GPT-4o-mini,legal,role_prompting,S03B,16.894,0.5133,0.6576,0.16,1.7821,7.459
48,Llama 3 8B,academic,direct_instruction,S02A,14.998,0.5129,0.6174,0.0143,2.3175,5.2404
49,GPT-4o,technical,contrastive,S07C,14.252,0.5118,0.5784,-0.1333,2.1251,5.4436
50,GPT-4o-mini,journalism,role_prompting,S01B,15.986,0.5115,0.7637,0.5667,1.1131,4.126
51,Claude Sonnet 4.6,executive,direct_instruction,S04A,16.458,0.5111,0.8325,0.1333,0.8614,4.644
52,Claude Haiku,journalism,direct_instruction,S01A,13.064,0.5106,0.7406,0.0333,1.1068,3.5876
53,GPT-4o-mini,journalism,contrastive,S01C,12.78,0.5095,0.7223,0.3,1.17,5.3218
54,GPT-4o-mini,technical,contrastive,S07C,14.06,0.5081,0.5872,0.1,2.0483,8.4536
55,Claude Sonnet 4.6,journalism,direct_instruction,S01A,13.61,0.507,0.7526,0.1333,1.0683,4.1462
