email_id,email_type,email_tone,model,prompt_id,strategy,summary,latency_s,rouge1,rouge2,rougeL,compression_ratio,word_count,tone_preservation,flesch_kincaid,error
E01,single,formal,GPT-4o-mini,TL01,tldr,"Marcus Chen is following up on urgent budget items that need Sarah's approval before the end of Q3, including software renewals, contractor invoices, and a travel expense variance, and is requesting a call to discuss them.",4.045681715011597,0.4675,0.1867,0.4156,0.2387,37,0.0,18.61,
E01,single,formal,GPT-4o,TL01,tldr,"Marcus Chen is following up on three urgent budget items discussed in a meeting, requiring Sarah's approval and explanation by Friday, and suggests a call tomorrow morning to address them.",1.3602960109710693,0.4225,0.058,0.2817,0.2,31,0.0,17.05,
E01,single,formal,Claude Haiku,TL01,tldr,"TL;DR: Marcus is requesting Sarah's approval on three Q3 budget items ($42,000 software renewal, $18,500 contractor invoices, and a $7,200 travel expense variance explanation) by Friday's close, and wants to schedule a call tomorrow morning to discuss.",3.43557071685791,0.5301,0.1975,0.3855,0.2774,43,0.6,20.39,
E01,single,formal,Claude Sonnet 4.6,TL01,tldr,"**TL;DR:** Finance Director Marcus Chen is requesting Sarah's urgent attention on three Q3 budget items — software licensing approval ($42K), contractor invoice sign-off ($18.5K), and a travel expense variance explanation ($7.2K) — all needed before Friday's end-of-quarter close, and asking if she's available for a call tomorrow between 9–11 AM EST.",2.8909966945648193,0.6465,0.268,0.3838,0.3806,59,0.0,11.08,
E01,single,formal,Gemini 2.0 Flash,TL01,tldr,"Marcus is following up on the Q3 budget review, needing Sarah's urgent approval for software licensing, contractor invoices, and a travel expense variance, and wants to schedule a call to discuss.",2.1686079502105713,0.4167,0.1714,0.3333,0.2065,32,0.0,16.8,
E01,single,formal,Llama 3 8B,TL01,tldr,"The finance director, Marcus Chen, is following up on three urgent budget items that require Sarah's approval by the end of the quarter, including software licensing renewals, contractor invoices, and a travel expense variance.",1.0494935512542725,0.4,0.137,0.32,0.2258,35,0.0991,19.3,
E01,single,formal,GPT-4o-mini,TL02,tldr,"Please approve the $42,000 software licensing renewals and sign off on the $18,500 contractor invoices by Wednesday COB, and provide a written explanation for the $7,200 travel expense variance before the end-of-quarter close on Friday.",1.9512181282043457,0.4,0.1026,0.225,0.2581,40,0.6,18.6,
E01,single,formal,GPT-4o,TL02,tldr,"Approve software licensing renewals by Wednesday COB, sign off on contractor invoices, and provide a written explanation for the travel expense variance by Friday, and confirm receipt of this message for a call tomorrow morning.",1.6458766460418701,0.3733,0.1096,0.2667,0.2258,35,0.6,18.96,
E01,single,formal,Claude Haiku,TL02,tldr,"TL;DR: Approve three Q3 budget items by Friday's end-of-quarter close, with software licensing renewal approval due Wednesday COB and contractor invoices plus travel expense variance explanation also requiring immediate attention.",1.7423219680786133,0.4595,0.1389,0.3514,0.2194,34,0.6,20.23,
E01,single,formal,Claude Sonnet 4.6,TL02,tldr,"**TL;DR:** Sarah must approve a $42,000 software licensing renewal by Wednesday COB and $18,500 in contractor invoices, and provide a written explanation for a $7,200 travel expense variance, all before Friday's end-of-quarter close.",2.50423002243042,0.4,0.1282,0.275,0.2581,40,0.6,18.89,
