email_id,type,tone,domain,subject,body,reference_summary
E01,single,formal,business,"Q3 Budget Review — Action Required","Dear Sarah,\n\nI hope this message finds you well. I am writing to follow up on the Q3 budget review that was discussed during last Tuesday's leadership meeting. As you may recall, the finance committee identified three line items that require immediate attention before the end-of-quarter close on Friday.\n\nFirst, the software licensing renewals for the analytics platform ($42,000) need approval from your department by Wednesday COB. Second, the contractor invoices totaling $18,500 submitted by the operations team remain pending your sign-off. Third, we have identified a $7,200 variance in the travel expense category that will require a written explanation for audit purposes.\n\nCould you please confirm receipt of this message and advise whether a brief call tomorrow morning would be convenient to address these items? I am available between 9:00 AM and 11:00 AM EST.\n\nBest regards,\nMarcus Chen\nFinance Director","Three budget items need Sarah's attention before Friday: $42K software license approval (due Wednesday), $18.5K contractor invoice sign-off, and a $7.2K travel expense variance requiring written explanation. Marcus is available 9-11 AM tomorrow to discuss."
E02,single,urgent,operations,"URGENT: Production Server Down — All Hands","Team,\n\nOur primary production server (prod-us-east-1) went offline at 14:32 UTC. All customer-facing services are currently unavailable. This is a Severity 1 incident.\n\nCurrent status: The on-call engineer has been paged and is investigating. Initial assessment suggests a database connection pool exhaustion. We have not yet ruled out a DDoS attack.\n\nImmediate actions needed:\n- Backend team: Please join the incident bridge NOW at zoom.us/j/incident\n- DevOps: Begin failover procedure to prod-us-west-2\n- Communications: Draft customer notification for review within 15 minutes\n- Management: Executive stakeholder notification will go out at 15:00 UTC\n\nNext update in 20 minutes.\n\nTyler","Production server prod-us-east-1 down since 14:32 UTC (Sev-1). Suspected database connection pool exhaustion. Backend team to join incident bridge immediately, DevOps to initiate west-coast failover, comms team to draft customer notification within 15 minutes. Next update at 15:00 UTC."
E03,single,casual,personal,"Weekend plans?","Hey Jamie!\n\nOmg so I've been meaning to text you but work has been absolutely insane this week. We finally shipped that feature I told you about and I basically haven't slept in three days lol.\n\nAnyway! Are you free this Saturday? A few of us are thinking of going to that new ramen place on Morrison Street that everyone's been talking about — apparently the wait is like 2 hours but worth it? And then maybe we could head to the rooftop bar afterwards if the weather holds up.\n\nLet me know if you're in! Also would it be weird to invite Priya? I feel like she's been a bit left out lately and she loves ramen.\n\nHope your week was better than mine 😅\n\nAlex","Alex invites Jamie to ramen on Morrison Street this Saturday with possible rooftop bar after, and asks if it's okay to include Priya. Work has been hectic but a feature shipped."
E04,single,negative,customer_service,"Absolutely Disgusted With Your Service","To whom it may concern,\n\nI am writing to express my extreme dissatisfaction with the service I received on November 14th. I placed order #847291 three weeks ago and it has still not arrived. When I called your customer service line, I was put on hold for 47 minutes before being disconnected. I then sent two emails that went completely unanswered.\n\nThis is completely unacceptable. I have been a loyal customer for six years and have never experienced anything this appalling. The item was a birthday gift for my mother and her birthday has now passed.\n\nI expect a full refund of $89.99 immediately, plus compensation for the inconvenience this has caused. If I do not receive a response within 24 hours, I will be filing a complaint with the Better Business Bureau and disputing the charge with my credit card company.\n\nDo better.\n\nRobert Fitch","Six-year customer Robert Fitch demands immediate $89.99 refund for undelivered order #847291 (3 weeks late, missed mother's birthday gift). Previous contact attempts failed: 47-min hold then disconnection, two unanswered emails. Threatens BBB complaint and chargeback within 24 hours."
E05,single,positive,hr,"Congratulations — Promotion to Senior Engineer","Dear Priya,\n\nI am absolutely thrilled to share the wonderful news that the leadership team has unanimously approved your promotion to Senior Software Engineer, effective December 1st.\n\nThis recognition reflects your exceptional contributions over the past 18 months — particularly your leadership of the API migration project, your mentorship of three junior engineers, and your consistent delivery of high-quality work under tight deadlines. Your colleagues speak very highly of you.\n\nYour new base salary will be $145,000, and you will be eligible for the senior equity grant of 2,000 RSUs vesting over four years. Full details will follow in a formal offer letter from HR.\n\nWe are so proud to have you on the team, Priya. This is very well deserved.\n\nWith warm regards,\nDavid Park\nVP Engineering","Priya is promoted to Senior Software Engineer effective December 1st with a $145K salary and 2,000 RSU equity grant. Recognition is for leading the API migration, mentoring three junior engineers, and consistent high performance. Formal offer letter to follow from HR."
E06,single,formal,legal,"Notice of Contract Renewal — Response Required by December 15","Dear Mr. Thompson,\n\nPlease be advised that your current service agreement (Contract No. SVC-2021-0847) is scheduled to expire on January 31st of the coming year. Pursuant to Section 14.2 of the agreement, written notice of intent to renew or terminate must be received no later than 45 days prior to the expiration date.\n\nThe renewal terms are as follows: a 3-year extension at the current rate of $8,400 per annum, with a 2.5% annual escalation clause beginning in year two. Alternatively, a month-to-month arrangement is available at $850 per month.\n\nPlease respond in writing to this office by December 15th indicating your preference. Failure to respond by this date will result in automatic termination of services upon contract expiry.\n\nYours faithfully,\nPatricia Holloway\nContracts Administration","Contract SVC-2021-0847 expires January 31st. Thompson must respond in writing by December 15th: option 1 is a 3-year renewal at $8,400/year with 2.5% annual escalation from year 2; option 2 is month-to-month at $850/month. No response means automatic termination."
E07,single,casual,team,"Lunch run — who's in?","Hey all,\n\nHeading to that Thai place on 5th in about 20 mins — the one with the amazing green curry. Anyone want me to grab something?\n\nI'm doing a Pad Thai and spring rolls. Text me or reply here if you want in, I can place a group order.\n\nAlso fair warning: there's a fire drill scheduled for 2pm apparently so plan accordingly lol\n\nCheers\nSam","Sam is making a Thai lunch run in 20 minutes and can place a group order. Also flagging a 2 PM fire drill."
E08,single,urgent,finance,"Wire Transfer Authorization Needed — Closes in 2 Hours","Hi Jennifer,\n\nApologies for the short notice. The Meridian acquisition team just informed us that the escrow wire must be initiated before 4:00 PM EST today or the transaction closes at a disadvantage — we lose the favorable rate lock.\n\nThe amount is $2.35 million to First National Bank, account details in the secure DocuSign envelope I sent 10 minutes ago. This has been reviewed and approved by CFO Linda Watts and General Counsel Mark Rivera.\n\nPlease confirm receipt and initiation timeline.\n\nThank you,\nDaniel","Daniel urgently requests Jennifer initiate a $2.35M escrow wire to First National Bank before 4 PM EST to preserve the Meridian acquisition rate lock. CFO and General Counsel have approved. Account details in DocuSign. Confirmation requested."
E09,thread,formal,project_management,"Re: Re: Re: Website Redesign — Final Approval","--- Original Message (Nov 10) ---\nFrom: Claire Wong, Marketing Director\nTo: Dev Team, Design Team\n\nHi everyone, I wanted to kick off the website redesign project formally. Our target launch date is January 15th. The main goals are: modernize the visual identity, improve mobile performance scores from 67 to 90+, and reduce bounce rate by 20%. Budget approved: $45,000. Claire\n\n--- Reply (Nov 12) ---\nFrom: Ben Okafor, Lead Developer\nTo: Claire Wong\n\nHi Claire, thanks for the brief. A few concerns: January 15 is aggressive given the scope. Realistically we need 10 weeks minimum which puts us at late January. Also the mobile performance target of 90+ may require a complete rebuild of the image pipeline — that alone is 3 weeks of work. Can we discuss scope vs timeline? Ben\n\n--- Reply (Nov 14) ---\nFrom: Claire Wong\nTo: Ben Okafor\n\nHi Ben, understood on the timeline concerns. I've spoken with the CEO and we have flexibility to push to February 1st. However the mobile performance target is non-negotiable — it affects SEO ranking directly. Re: image pipeline, can we bring in a contractor to run that in parallel? Budget can stretch to $52,000 if needed. Claire\n\n--- Latest Reply (Nov 15) ---\nFrom: Ben Okafor\nTo: Claire Wong\n\nPerfect, February 1st works. With the budget increase I can bring in Maria Santos who has done our image pipeline work before. I'll have a full project plan with milestones to you by end of week. One last ask: can design have final mockups ready by November 25th so dev can start immediately after? Ben","Website redesign thread between Claire (Marketing) and Ben (Dev): Launch pushed from Jan 15 to Feb 1 due to scope. Budget increased from $45K to $52K to hire contractor Maria Santos for the image pipeline rebuild needed to hit mobile performance target of 90+. Ben will deliver project plan by end of week and needs design mockups by Nov 25."
E10,thread,casual,team,"Re: Re: Office Christmas Party Planning","--- Original (Nov 8) ---\nFrom: Tasha\nTo: Team\nHey everyone! Time to plan the office Christmas party! Last year was a disaster (sorry Kevin lol) so let's do better this time. Ideas? Budget is around $500. Tasha\n\n--- Reply (Nov 8) ---\nFrom: Kevin\nTo: Team\nHaha fair point Tasha. I vote for escape room — team building AND fun. About $25/person so fits the budget for 20 people. Also no dancing required which is a win for some of us 😅 Kevin\n\n--- Reply (Nov 9) ---\nFrom: Priya\nTo: Team\nEscape room sounds fun! But can we make sure there's a vegetarian/vegan food option this time? Last year was rough for those of us who don't eat meat. Also maybe a white elephant gift exchange? Cap at $20. Priya\n\n--- Reply (Nov 10) ---\nFrom: Tasha\nTo: Team\nLove all of this! Escape room + white elephant it is. I'll book Puzzled! on Main Street for Dec 14th — they have a private room for groups. Kevin can you handle food ordering and make sure there are good veggie options? Budget breakdown: $400 escape room, $100 food. Tasha","Team planning office Christmas party: escape room at Puzzled! on Main Street booked for Dec 14th ($400), plus food ($100) with required vegetarian options. White elephant gift exchange added with $20 cap. Kevin assigned to handle food ordering."
